user_number,session_group,trialIndex,tubeTypeIndex,tip_direction,face_id,faceSide,towards_away,raw_angle,latency
284,2V1UR01,3,2,right,ID015,right,towards,11,4078.0
284,2V1UR01,22,2,left,ID015,right,away,-13,2643.0
248,2V1UR01,3,1,right,ID030,right,towards,15,5752.0
248,2V1UR01,31,1,left,ID030,right,away,-21,2711.0
143,AT004,10,3,right,ID017,right,towards,25,9936.0
143,AT004,5,3,left,ID017,right,away,-26,10431.0
87,AT004,5,0,left,ID017,left,towards,-19,5133.0
87,AT004,11,0,right,ID017,left,away,14,3575.0
269,2V1UR01,29,0,right,ID030,right,towards,17,2416.0
269,2V1UR01,11,0,left,ID030,right,away,-17,6976.0
200,2V1UR01,11,1,left,ID015,left,towards,-10,1975.0
200,2V1UR01,1,1,right,ID015,left,away,9,4575.0
291,2V1UR01,7,1,right,ID015,right,towards,15,11238.0
291,2V1UR01,10,1,left,ID015,right,away,-16,12535.0
39,AT004,23,3,right,ID017,right,towards,15,2383.0
39,AT004,7,3,left,ID017,right,away,-14,4471.0
279,2V1UR01,0,1,left,ID030,left,towards,-13,366203.0
279,2V1UR01,11,1,right,ID030,left,away,16,2368.0
287,2V1UR01,14,1,left,ID015,left,towards,-25,6383.0
287,2V1UR01,11,1,right,ID015,left,away,24,6353.0